Season,Division,Team,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2012,AFC South,IND,14,@HOU,10.5,48,"L, 17-29",Lost,Under
2017,AFC South,IND,10,PIT,10.5,47,"L, 17-20",Won,Under
2018,AFC South,IND,5,@NWE,10.5,49.5,"L, 24-38",Lost,Over
2019,AFC South,IND,5,@KAN,10.5,55.5,"W, 19-13",Won,Under
2022,AFC South,IND,13,@DAL,10.5,44.5,"L, 19-54",Lost,Over
2004,AFC South,IND,16,@DEN,10,44,"L, 14-33",Lost,Over
2011,AFC South,IND,4,@TAM,10,40.5,"L, 17-24",Won,Over
2012,AFC South,IND,1,@CHI,10,42.5,"L, 21-41",Lost,Over
2012,AFC South,IND,10,@NWE,10,55,"L, 24-59",Lost,Over
2013,AFC South,IND,3,@SFO,10,45.5,"W, 27-7",Won,Under
2017,AFC South,IND,12,@JAX,10,41,"L, 10-30",Lost,Under
2002,AFC South,IND,9,@PHI,9.5,41.5,"W, 35-13",Won,Over
2015,AFC South,IND,6,NWE,9.5,54.5,"L, 27-34",Won,Over
2011,AFC South,IND,1,@HOU,9,44,"L, 7-34",Lost,Under
2009,AFC South,IND,16,@BUF,8,32,"L, 7-30",Lost,Over
2016,AFC South,IND,11,PIT,8,50,"L, 7-28",Lost,Under
2019,AFC South,IND,14,@NOR,8,48.5,"L, 7-34",Lost,Under
2011,AFC South,IND,8,@TEN,7.5,43.5,"L, 10-27",Lost,Under
2014,AFC South,IND,1,@DEN,7.5,55,"L, 24-31",Won,Push
2015,AFC South,IND,12,@PIT,7.5,49,"L, 10-45",Lost,Over
2016,AFC South,IND,9,@GNB,7.5,52,"W, 31-26",Won,Over
2023,AFC South,IND,3,@BAL,7.5,44.5,"W, 22-19",Won,Under
2024,AFC South,IND,12,DET,7.5,50,"L, 6-24",Lost,Under
2005,AFC South,IND,15,@SEA,7,47,"L, 13-28",Lost,Under
2011,AFC South,IND,9,ATL,7,45.5,"L, 7-31",Lost,Under
2011,AFC South,IND,15,HOU,7,40.5,"W, 19-16",Won,Under
2012,AFC South,IND,12,@DET,7,51,"W, 35-33",Won,Over
2012,AFC South,IND,17,@BAL,7,47,"L, 9-24",Lost,Under
2013,AFC South,IND,13,@CIN,7,43,"L, 28-42",Lost,Over
2013,AFC South,IND,15,@KAN,7,46.5,"W, 23-7",Won,Under
2013,AFC South,IND,18,@NWE,7,51,"L, 22-43",Lost,Over
2014,AFC South,IND,18,@DEN,7,53.5,"W, 24-13",Won,Under
2014,AFC South,IND,19,@NWE,7,52,"L, 7-45",Lost,Push
2017,AFC South,IND,2,ARI,7,44,"L, 13-16",Won,Under
2017,AFC South,IND,6,@TEN,7,46,"L, 22-36",Lost,Over
2020,AFC South,IND,17,@BUF,7,50.5,"L, 24-27",Won,Over
2021,AFC South,IND,5,@BAL,7,46,"L, 25-31",Won,Over
2021,AFC South,IND,11,@BUF,7,49.5,"W, 41-15",Won,Over
2011,AFC South,IND,14,TEN,6.5,41.5,"W, 27-13",Won,Under
2012,AFC South,IND,4,GNB,6.5,49,"W, 30-27",Won,Over
2015,AFC South,IND,8,@CAR,6.5,46.5,"L, 26-29",Won,Over
2018,AFC South,IND,3,@PHI,6.5,45.5,"L, 16-20",Won,Under
2022,AFC South,IND,11,PHI,6.5,45.5,"L, 16-17",Won,Under
2002,AFC South,IND,11,@DEN,6,43,"W, 23-20",Won,Push
2002,AFC South,IND,17,@NYJ,6,42,"L, 0-41",Lost,Under
2012,AFC South,IND,16,HOU,6,47,"W, 28-16",Won,Under
2013,AFC South,IND,7,DEN,6,54.5,"W, 39-33",Won,Over
2016,AFC South,IND,2,@DEN,6,47,"L, 20-34",Lost,Over
2017,AFC South,IND,9,@HOU,6,45,"W, 20-14",Won,Under
2018,AFC South,IND,2,@WAS,6,48,"W, 21-9",Won,Under
2019,AFC South,IND,1,@LAC,6,44.5,"L, 24-30",Push,Over
2015,AFC South,IND,9,DEN,5.5,45.5,"W, 27-24",Won,Over
2021,AFC South,IND,3,@TEN,5.5,47.5,"L, 16-25",Lost,Under
2022,AFC South,IND,3,KAN,5.5,51,"W, 20-17",Won,Under
2022,AFC South,IND,16,@NYG,5.5,39,"L, 10-38",Lost,Over
2024,AFC South,IND,9,@MIN,5.5,47,"L, 13-21",Lost,Under
2007,AFC South,IND,8,NWE,5,56.5,"L, 20-24",Won,Under
2016,AFC South,IND,14,@MIN,5,44.5,"W, 34-6",Won,Under
2022,AFC South,IND,9,@NWE,5,40.5,"L, 3-26",Lost,Under
2024,AFC South,IND,8,@HOU,5,45.5,"L, 20-23",Won,Under
2002,AFC South,IND,6,@PIT,4.5,46,"L, 10-28",Lost,Under
2003,AFC South,IND,5,@TAM,4.5,37.5,"W, 38-35",Won,Over
2007,AFC South,IND,16,TEN,4.5,41,"L, 10-16",Lost,Under
2010,AFC South,IND,10,@NWE,4.5,50,"L, 28-31",Won,Over
2011,AFC South,IND,6,@CIN,4.5,40.5,"L, 17-27",Lost,Over
2015,AFC South,IND,10,@ATL,4.5,47.5,"W, 24-21",Won,Under
2023,AFC South,IND,6,@JAX,4.5,43.5,"L, 20-37",Lost,Over
2006,AFC South,IND,18,@BAL,4,41,"W, 15-6",Won,Under
2008,AFC South,IND,7,@TEN,4,41.5,"L, 21-31",Lost,Over
2016,AFC South,IND,7,@TEN,4,48,"W, 34-26",Won,Over
2018,AFC South,IND,13,@HOU,4,49,"W, 24-21",Won,Under
2018,AFC South,IND,18,@KAN,4,54,"L, 13-31",Lost,Under
2021,AFC South,IND,7,@SFO,4,42.5,"W, 30-18",Won,Over
2022,AFC South,IND,10,@LVR,4,41,"W, 25-20",Won,Over
2022,AFC South,IND,15,LAC,4,45.5,"L, 3-20",Lost,Under
2024,AFC South,IND,10,BUF,4,46.5,"L, 20-30",Lost,Over
2024,AFC South,IND,11,@NYJ,4,43.5,"W, 28-27",Won,Over
2024,AFC South,IND,14,@DEN,4,44,"L, 13-31",Lost,Push
2003,AFC South,IND,13,@TEN,3.5,46.5,"W, 29-27",Won,Over
2003,AFC South,IND,19,@NWE,3.5,42,"L, 14-24",Lost,Under
2008,AFC South,IND,9,@PIT,3.5,39,"W, 24-20",Won,Over
2011,AFC South,IND,11,CAR,3.5,46.5,"L, 19-27",Lost,Under
2016,AFC South,IND,15,@OAK,3.5,52,"L, 25-33",Lost,Over
2017,AFC South,IND,1,@LAR,3.5,41.5,"L, 9-46",Lost,Over
2017,AFC South,IND,13,@BUF,3.5,36.5,"L, 7-13",Lost,Under
2019,AFC South,IND,11,@HOU,3.5,46,"L, 17-20",Won,Under
2021,AFC South,IND,2,LAR,3.5,48,"L, 24-27",Won,Over
2022,AFC South,IND,14,@MIN,3.5,47.5,"L, 36-39",Won,Over
2023,AFC South,IND,1,JAX,3.5,46.5,"L, 21-31",Lost,Over
2023,AFC South,IND,7,CLE,3.5,39.5,"L, 38-39",Won,Over
2003,AFC South,IND,8,@MIA,3,39.5,"W, 23-17",Won,Over
2003,AFC South,IND,18,@KAN,3,53,"W, 38-31",Won,Over
2004,AFC South,IND,1,@NWE,3,44.5,"L, 24-27",Push,Over
2006,AFC South,IND,7,@DEN,3,39.5,"W, 34-31",Won,Over
2008,AFC South,IND,11,@SDG,3,49,"W, 23-20",Won,Under
2008,AFC South,IND,16,TEN,3,39.5,"W, 23-0",Won,Under
2009,AFC South,IND,3,@ARI,3,49,"W, 31-10",Won,Under
2010,AFC South,IND,8,@PHI,3,47,"L, 24-26",Won,Over
2011,AFC South,IND,10,JAX,3,37.5,"L, 3-17",Lost,Under
2011,AFC South,IND,16,@JAX,3,37,"L, 13-19",Lost,Under
2012,AFC South,IND,2,MIN,3,45.5,"W, 23-20",Won,Under
2012,AFC South,IND,5,@NYJ,3,44,"L, 9-35",Lost,Push
2012,AFC South,IND,7,@TEN,3,47,"W, 19-13",Won,Under
2013,AFC South,IND,5,SEA,3,43.5,"W, 34-28",Won,Over
2013,AFC South,IND,11,@ARI,3,44.5,"L, 11-40",Lost,Over
2014,AFC South,IND,15,@DAL,3,54,"L, 7-42",Lost,Under
2016,AFC South,IND,6,@HOU,3,47.5,"L, 23-26",Push,Over
2016,AFC South,IND,8,KAN,3,50.5,"L, 14-30",Lost,Under
2017,AFC South,IND,7,JAX,3,41,"L, 0-27",Lost,Under
2017,AFC South,IND,11,TEN,3,46.5,"L, 16-20",Lost,Under
2017,AFC South,IND,14,DEN,3,40.5,"L, 13-25",Lost,Under
2019,AFC South,IND,2,@TEN,3,43.5,"W, 19-17",Won,Under
2019,AFC South,IND,13,@TAM,3,46.5,"L, 35-38",Push,Over
2021,AFC South,IND,1,SEA,3,49,"L, 16-28",Lost,Under
2021,AFC South,IND,12,TAM,3,53.5,"L, 31-38",Lost,Over
2022,AFC South,IND,5,@DEN,3,42,"W, 12-9",Won,Under
2023,AFC South,IND,15,@ATL,3,45,"L, 10-29",Lost,Under
2024,AFC South,IND,5,@JAX,3,45,"L, 34-37",Push,Over
2006,AFC South,IND,8,@NWE,2.5,47.5,"W, 27-20",Won,Under
2013,AFC South,IND,17,KAN,2.5,48,"W, 45-44",Won,Over
2015,AFC South,IND,15,@MIA,2.5,43,"W, 18-12",Won,Under
2018,AFC South,IND,6,@NYJ,2.5,47.5,"L, 34-42",Lost,Over
2021,AFC South,IND,4,@MIA,2.5,42.5,"W, 27-17",Won,Over
2022,AFC South,IND,7,@TEN,2.5,41.5,"L, 10-19",Lost,Under
2023,AFC South,IND,5,TEN,2.5,43.5,"W, 23-16",Won,Under
2023,AFC South,IND,13,@CIN,2.5,44.5,"L, 14-34",Lost,Over
2024,AFC South,IND,1,HOU,2.5,48.5,"L, 27-29",Won,Over
2024,AFC South,IND,6,@TEN,2.5,43,"W, 20-17",Won,Under
2012,AFC South,IND,8,MIA,2,43.5,"W, 23-20",Won,Under
2015,AFC South,IND,5,@HOU,2,44.5,"W, 27-20",Won,Over
2018,AFC South,IND,17,@HOU,2,48.5,"W, 21-7",Won,Under
2021,AFC South,IND,15,@ARI,2,49,"W, 22-16",Won,Under
2011,AFC South,IND,2,CLE,1.5,39,"L, 19-27",Lost,Over
2015,AFC South,IND,13,@JAX,1.5,46,"L, 16-51",Lost,Over
2023,AFC South,IND,8,NOR,1.5,43.5,"L, 27-38",Lost,Over
2023,AFC South,IND,17,HOU,1.5,47.5,"L, 19-23",Lost,Under
2002,AFC South,IND,7,@WAS,1,46,"L, 21-26",Lost,Over
2004,AFC South,IND,18,@NWE,1,51,"L, 3-20",Lost,Under
2016,AFC South,IND,12,@NYJ,1,48.5,"W, 41-10",Won,Over
2017,AFC South,IND,3,CLE,1,42,"W, 31-28",Won,Over
2018,AFC South,IND,1,CIN,1,47.5,"L, 23-34",Lost,Over
2018,AFC South,IND,4,HOU,1,48,"L, 34-37",Lost,Over
2019,AFC South,IND,8,@PIT,1,39.5,"L, 24-26",Lost,Over
2019,AFC South,IND,12,TEN,1,41.5,"L, 17-31",Lost,Over
2020,AFC South,IND,5,@CLE,1,48.5,"L, 23-32",Lost,Over
2023,AFC South,IND,2,@HOU,1,40,"W, 31-20",Won,Over
2023,AFC South,IND,4,LAR,1,44.5,"L, 23-29",Lost,Over
2024,AFC South,IND,4,PIT,1,40.5,"W, 27-24",Won,Over
2002,AFC South,IND,2,MIA,0,47,"L, 13-21",Lost,Under
2013,AFC South,IND,6,@SDG,0,50.5,"L, 9-19",Lost,Under
2002,AFC South,IND,13,@TEN,-1,43,"L, 17-27",Lost,Over
2004,AFC South,IND,7,@KAN,-1,56.5,"L, 35-45",Lost,Over
2006,AFC South,IND,10,@DAL,-1,49,"L, 14-21",Lost,Under
2006,AFC South,IND,13,@JAX,-1,44,"L, 17-44",Lost,Over
2008,AFC South,IND,2,@MIN,-1,43.5,"W, 18-15",Won,Under
2010,AFC South,IND,1,@HOU,-1,48,"L, 24-34",Lost,Over
2012,AFC South,IND,6,CLE,-1,46.5,"W, 17-13",Won,Under
2013,AFC South,IND,8,@HOU,-1,42.5,"W, 27-24",Won,Over
2016,AFC South,IND,4,@JAX,-1,48,"L, 27-30",Lost,Over
2017,AFC South,IND,5,SFO,-1,43.5,"W, 26-23",Won,Over
2018,AFC South,IND,10,TEN,-1,50,"W, 38-10",Won,Under
2019,AFC South,IND,3,ATL,-1,48,"W, 27-24",Won,Over
2020,AFC South,IND,8,BAL,-1,47.5,"L, 10-24",Lost,Under
2020,AFC South,IND,9,@TEN,-1,49.5,"W, 34-17",Won,Over
2020,AFC South,IND,15,@PIT,-1,43.5,"L, 24-28",Lost,Over
2023,AFC South,IND,12,@TEN,-1,42,"W, 31-28",Won,Over
2023,AFC South,IND,14,PIT,-1,42.5,"W, 30-13",Won,Over
2024,AFC South,IND,3,CHI,-1,43.5,"W, 21-16",Won,Under
2003,AFC South,IND,4,@NOR,-1.5,42,"W, 55-21",Won,Over
2004,AFC South,IND,2,@TEN,-1.5,47,"W, 31-17",Won,Over
2009,AFC South,IND,9,NWE,-1.5,48.5,"W, 35-34",Lost,Over
2009,AFC South,IND,10,@BAL,-1.5,44.5,"W, 17-15",Won,Under
2011,AFC South,IND,5,KAN,-1.5,38,"L, 24-28",Lost,Over
2015,AFC South,IND,14,HOU,-1.5,42,"L, 10-16",Lost,Under
2016,AFC South,IND,3,SDG,-1.5,51.5,"W, 26-22",Won,Under
2019,AFC South,IND,6,HOU,-1.5,46.5,"W, 30-23",Won,Over
2020,AFC South,IND,10,GNB,-1.5,52.5,"W, 34-31",Won,Over
2022,AFC South,IND,6,JAX,-1.5,41,"W, 34-27",Won,Over
2023,AFC South,IND,9,@CAR,-1.5,44.5,"W, 27-13",Won,Under
2002,AFC South,IND,14,@CLE,-2,41.5,"W, 28-23",Won,Over
2003,AFC South,IND,1,@CLE,-2,48,"W, 9-6",Won,Under
2010,AFC South,IND,11,SDG,-2,51,"L, 14-36",Lost,Under
2010,AFC South,IND,17,NYJ,-2,44.5,"L, 16-17",Lost,Under
2003,AFC South,IND,2,TEN,-2.5,44,"W, 33-7",Won,Under
2008,AFC South,IND,6,@GNB,-2.5,47,"L, 14-34",Lost,Over
2008,AFC South,IND,17,@SDG,-2.5,50,"L, 17-23",Lost,Under
2010,AFC South,IND,15,@OAK,-2.5,47.5,"W, 31-26",Won,Over
2014,AFC South,IND,6,@HOU,-2.5,46.5,"W, 33-28",Won,Over
2015,AFC South,IND,1,@BUF,-2.5,45,"L, 14-27",Lost,Under
2016,AFC South,IND,1,DET,-2.5,51,"L, 35-39",Lost,Over
2019,AFC South,IND,10,JAX,-2.5,41.5,"W, 33-13",Won,Over
2020,AFC South,IND,13,@LVR,-2.5,52,"W, 44-27",Won,Over
2021,AFC South,IND,14,NWE,-2.5,45.5,"W, 27-17",Won,Under
2022,AFC South,IND,12,PIT,-2.5,39.5,"L, 17-24",Lost,Over
2022,AFC South,IND,17,HOU,-2.5,37.5,"L, 31-32",Lost,Over
2023,AFC South,IND,10,@NWE,-2.5,41.5,"W, 10-6",Won,Under
2023,AFC South,IND,11,TAM,-2.5,45.5,"W, 27-20",Won,Over
2024,AFC South,IND,2,@GNB,-2.5,40.5,"L, 10-16",Lost,Under
2024,AFC South,IND,13,@NWE,-2.5,42.5,"W, 25-24",Lost,Over
2002,AFC South,IND,8,TEN,-3,47,"L, 15-23",Lost,Under
2003,AFC South,IND,11,@BUF,-3,38.5,"W, 17-14",Push,Under
2003,AFC South,IND,17,DEN,-3,49,"W, 41-10",Won,Over
2005,AFC South,IND,1,@BAL,-3,47,"W, 24-7",Won,Under
2005,AFC South,IND,8,@NWE,-3,46.5,"W, 40-21",Won,Over
2006,AFC South,IND,1,@NYG,-3,47.5,"W, 26-21",Won,Under
2006,AFC South,IND,19,NWE,-3,47,"W, 38-34",Won,Over
2007,AFC South,IND,6,@JAX,-3,45.5,"W, 29-7",Won,Under
2009,AFC South,IND,2,@MIA,-3,41,"W, 27-23",Won,Over
2009,AFC South,IND,11,@HOU,-3,48,"W, 35-27",Won,Over
2009,AFC South,IND,14,@JAX,-3,43.5,"W, 35-31",Won,Over
2009,AFC South,IND,15,NYJ,-3,40.5,"L, 15-29",Lost,Over
2010,AFC South,IND,6,@WAS,-3,45,"W, 27-24",Push,Over
2012,AFC South,IND,3,JAX,-3,42,"L, 17-22",Lost,Under
2012,AFC South,IND,11,BUF,-3,51.5,"W, 20-13",Won,Under
2013,AFC South,IND,2,MIA,-3,43.5,"L, 20-24",Lost,Over
2013,AFC South,IND,10,@TEN,-3,42,"W, 30-27",Push,Over
2014,AFC South,IND,2,PHI,-3,54,"L, 27-30",Lost,Over
2014,AFC South,IND,5,BAL,-3,49,"W, 20-13",Won,Under
2014,AFC South,IND,9,@NYG,-3,50,"W, 40-24",Won,Over
2014,AFC South,IND,10,NWE,-3,57,"L, 20-42",Lost,Over
2014,AFC South,IND,13,@CLE,-3,50,"W, 25-24",Lost,Under
2014,AFC South,IND,17,CIN,-3,48,"W, 26-10",Won,Under
2015,AFC South,IND,11,TAM,-3,46,"W, 25-12",Won,Under
2016,AFC South,IND,10,TEN,-3,53.5,"W, 24-17",Won,Under
2018,AFC South,IND,9,JAX,-3,48,"W, 29-26",Push,Over
2018,AFC South,IND,14,DAL,-3,46.5,"W, 23-0",Won,Under
2020,AFC South,IND,11,TEN,-3,51.5,"L, 26-45",Lost,Over
2021,AFC South,IND,8,TEN,-3,51,"L, 31-34",Lost,Over
2022,AFC South,IND,2,@JAX,-3,45,"L, 0-24",Lost,Under
2022,AFC South,IND,8,WAS,-3,39.5,"L, 16-17",Lost,Under
2024,AFC South,IND,7,MIA,-3,43.5,"W, 16-10",Won,Under
2002,AFC South,IND,1,@JAX,-3.5,44,"W, 28-25",Lost,Over
2003,AFC South,IND,12,NWE,-3.5,43.5,"L, 34-38",Lost,Over
2006,AFC South,IND,14,CIN,-3.5,55,"W, 34-16",Won,Under
2007,AFC South,IND,9,@SDG,-3.5,47.5,"L, 21-23",Lost,Under
2009,AFC South,IND,5,@TEN,-3.5,44,"W, 31-9",Won,Under
2012,AFC South,IND,9,@JAX,-3.5,43.5,"W, 27-10",Won,Under
2013,AFC South,IND,12,TEN,-3.5,46,"W, 22-14",Won,Under
2014,AFC South,IND,7,CIN,-3.5,50.5,"W, 27-0",Won,Under
2015,AFC South,IND,3,@TEN,-3.5,46,"W, 35-33",Lost,Over
2018,AFC South,IND,8,@OAK,-3.5,51,"W, 42-28",Won,Over
2020,AFC South,IND,2,MIN,-3.5,49,"W, 28-11",Won,Under
2020,AFC South,IND,4,@CHI,-3.5,43.5,"W, 19-11",Won,Under
2020,AFC South,IND,7,@DET,-3.5,49,"W, 41-21",Won,Over
2020,AFC South,IND,12,@HOU,-3.5,50,"W, 26-20",Won,Under
2022,AFC South,IND,4,TEN,-3.5,43,"L, 17-24",Lost,Under
2024,AFC South,IND,15,TEN,-3.5,42.5,"W, 38-30",Won,Over
2024,AFC South,IND,17,JAX,-3.5,45,"W, 26-23",Lost,Over
2003,AFC South,IND,6,CAR,-4,37.5,"L, 20-23",Lost,Over
2004,AFC South,IND,4,@JAX,-4,42,"W, 24-17",Won,Under
2008,AFC South,IND,3,JAX,-4,42,"L, 21-23",Lost,Over
2008,AFC South,IND,5,BAL,-4,38.5,"W, 31-3",Won,Under
2008,AFC South,IND,12,@CLE,-4,44,"W, 10-6",Push,Under
2010,AFC South,IND,2,NYG,-4,48.5,"W, 38-14",Won,Over
2010,AFC South,IND,13,@TEN,-4,44,"W, 30-28",Lost,Over
2012,AFC South,IND,13,TEN,-4,47,"W, 27-23",Push,Over
2015,AFC South,IND,7,NOR,-4,52,"L, 21-27",Lost,Under
2016,AFC South,IND,5,CHI,-4,47.5,"W, 29-23",Won,Over
2018,AFC South,IND,12,@JAX,-4,45.5,"L, 0-6",Lost,Under
2023,AFC South,IND,16,LVR,-4,42.5,"W, 23-20",Lost,Over
2002,AFC South,IND,15,NYG,-4.5,41,"L, 27-44",Lost,Over
2005,AFC South,IND,10,@CIN,-4.5,48.5,"W, 45-37",Won,Over
2008,AFC South,IND,4,@HOU,-4.5,48.5,"W, 31-27",Lost,Over
2009,AFC South,IND,19,NOR,-4.5,56.5,"L, 17-31",Lost,Under
2010,AFC South,IND,14,JAX,-4.5,48,"W, 34-24",Won,Over
2014,AFC South,IND,8,@PIT,-4.5,48.5,"L, 34-51",Lost,Over
2015,AFC South,IND,16,TEN,-4.5,39,"W, 30-24",Won,Over
2019,AFC South,IND,16,@JAX,-5,41.5,"L, 20-38",Lost,Over
2007,AFC South,IND,1,NOR,-5.5,53.5,"W, 41-10",Won,Under
2010,AFC South,IND,7,HOU,-5.5,51,"W, 30-17",Won,Under
2010,AFC South,IND,12,DAL,-5.5,48,"L, 35-38",Lost,Over
2016,AFC South,IND,16,JAX,-5.5,48.5,"W, 24-20",Lost,Under
2017,AFC South,IND,16,HOU,-5.5,41.5,"W, 22-13",Won,Under
2018,AFC South,IND,16,@TEN,-5.5,42.5,"W, 33-17",Won,Over
2019,AFC South,IND,4,OAK,-5.5,46,"L, 24-31",Lost,Over
2003,AFC South,IND,9,@JAX,-6,44,"L, 23-28",Lost,Over
2003,AFC South,IND,10,NYJ,-6,43.5,"W, 38-31",Won,Over
2004,AFC South,IND,3,GNB,-6,50,"W, 45-31",Won,Over
2005,AFC South,IND,16,ARI,-6,43.5,"W, 17-13",Lost,Under
2008,AFC South,IND,15,@JAX,-6,44,"W, 31-24",Won,Over
2009,AFC South,IND,1,JAX,-6,45,"W, 14-12",Lost,Under
2009,AFC South,IND,12,TEN,-6,47,"W, 27-17",Won,Under
2010,AFC South,IND,3,@DEN,-6,47,"W, 27-13",Won,Under
2012,AFC South,IND,15,@KAN,-6,41.5,"W, 20-13",Won,Under
2013,AFC South,IND,14,HOU,-6,47,"W, 25-3",Won,Under
2019,AFC South,IND,7,DEN,-6,41,"W, 15-13",Lost,Under
2002,AFC South,IND,5,BAL,-6.5,42,"W, 22-20",Lost,Push
2002,AFC South,IND,10,DAL,-6.5,39.5,"W, 20-3",Won,Under
2003,AFC South,IND,15,DEN,-6.5,48.5,"L, 17-31",Lost,Under
2006,AFC South,IND,3,JAX,-6.5,41.5,"W, 21-14",Won,Under
2006,AFC South,IND,17,KAN,-6.5,51,"W, 23-8",Won,Under
2006,AFC South,IND,20,CHI,-6.5,47,"W, 29-17",Won,Under
2007,AFC South,IND,3,@HOU,-6.5,46.5,"W, 30-24",Lost,Over
2007,AFC South,IND,7,@CAR,-6.5,44,"W, 31-7",Won,Under
2007,AFC South,IND,15,HOU,-6.5,45,"W, 38-15",Won,Over
2008,AFC South,IND,8,NWE,-6.5,44,"W, 18-15",Lost,Under
2009,AFC South,IND,13,DEN,-6.5,43.5,"W, 28-16",Won,Over
2009,AFC South,IND,17,BAL,-6.5,44,"W, 20-3",Won,Under
2014,AFC South,IND,14,HOU,-6.5,49,"W, 17-10",Won,Under
2016,AFC South,IND,13,HOU,-6.5,47.5,"L, 17-22",Lost,Under
2004,AFC South,IND,8,MIN,-7,58,"W, 31-28",Lost,Over
2004,AFC South,IND,15,SDG,-7,56,"W, 34-31",Lost,Over
2005,AFC South,IND,4,@TEN,-7,45,"W, 31-10",Won,Under
2007,AFC South,IND,2,@TEN,-7,46,"W, 22-20",Lost,Under
2007,AFC South,IND,12,JAX,-7,45,"W, 28-25",Lost,Over
2010,AFC South,IND,4,@JAX,-7,46,"L, 28-31",Lost,Over
2010,AFC South,IND,9,CIN,-7,47,"W, 23-17",Lost,Under
2013,AFC South,IND,9,STL,-7,43,"L, 8-38",Lost,Over
2014,AFC South,IND,3,@JAX,-7,45,"W, 44-17",Won,Over
2015,AFC South,IND,2,NYJ,-7,46.5,"L, 7-20",Lost,Under
2018,AFC South,IND,7,BUF,-7,43.5,"W, 37-5",Won,Under
2020,AFC South,IND,1,@JAX,-7,44,"L, 20-27",Lost,Over
2022,AFC South,IND,1,@HOU,-7,45.5,"T, 20-20",Lost,Under
2003,AFC South,IND,3,JAX,-7.5,42,"W, 23-13",Won,Under
2003,AFC South,IND,14,ATL,-7.5,48,"W, 38-7",Won,Under
2004,AFC South,IND,14,BAL,-7.5,48.5,"W, 20-10",Won,Under
2005,AFC South,IND,13,@JAX,-7.5,43,"W, 26-18",Won,Over
2005,AFC South,IND,14,SDG,-7.5,51,"L, 17-26",Lost,Under
2006,AFC South,IND,12,@TEN,-7.5,46.5,"L, 17-20",Lost,Under
2010,AFC South,IND,5,KAN,-7.5,46.5,"W, 19-9",Won,Under
2014,AFC South,IND,4,TEN,-7.5,46,"W, 41-17",Won,Over
2014,AFC South,IND,16,@TEN,-7.5,46.5,"W, 27-10",Won,Under
2019,AFC South,IND,15,CAR,-7.5,46,"W, 38-6",Won,Under
2020,AFC South,IND,6,CIN,-7.5,46,"W, 31-27",Lost,Over
2020,AFC South,IND,14,HOU,-7.5,52.5,"W, 27-20",Lost,Under
2024,AFC South,IND,16,@NYG,-7.5,40.5,"L, 33-45",Lost,Over
2004,AFC South,IND,10,@CHI,-8,44.5,"W, 41-10",Won,Over
2005,AFC South,IND,11,PIT,-8,47,"W, 26-7",Won,Under
2006,AFC South,IND,4,@NYJ,-8,46,"W, 31-28",Lost,Over
2008,AFC South,IND,10,HOU,-8,50.5,"W, 33-27",Lost,Over
2021,AFC South,IND,16,LVR,-8,45,"L, 20-23",Lost,Under
2002,AFC South,IND,16,JAX,-8.5,40.5,"W, 20-13",Lost,Under
2004,AFC South,IND,5,OAK,-8.5,52,"W, 35-14",Won,Under
2004,AFC South,IND,9,HOU,-8.5,54.5,"W, 49-14",Won,Over
2004,AFC South,IND,11,@DET,-8.5,54,"W, 41-9",Won,Under
2005,AFC South,IND,17,PIT,-8.5,46.5,"L, 18-21",Lost,Under
2006,AFC South,IND,6,WAS,-8.5,47,"W, 36-22",Won,Over
2009,AFC South,IND,8,HOU,-8.5,49.5,"W, 20-17",Lost,Under
2009,AFC South,IND,18,NYJ,-8.5,40.5,"W, 30-17",Won,Over
2014,AFC South,IND,12,WAS,-8.5,49,"W, 49-27",Won,Over
2003,AFC South,IND,16,@HOU,-9,46.5,"W, 20-17",Lost,Under
2004,AFC South,IND,6,JAX,-9,47,"L, 24-27",Lost,Over
2005,AFC South,IND,2,JAX,-9,46,"W, 10-3",Lost,Under
2006,AFC South,IND,16,MIA,-9,43.5,"W, 27-22",Lost,Over
2007,AFC South,IND,5,TAM,-9,45,"W, 33-14",Won,Over
2007,AFC South,IND,13,@BAL,-9,42,"W, 44-20",Won,Over
2018,AFC South,IND,11,MIA,-9,52.5,"W, 27-24",Lost,Under
2006,AFC South,IND,11,PHI,-9.5,45,"W, 45-21",Won,Over
2006,AFC South,IND,15,@HOU,-9.5,47,"L, 24-27",Lost,Over
2010,AFC South,IND,16,TEN,-9.5,48,"W, 23-20",Lost,Under
2013,AFC South,IND,4,@JAX,-9.5,42.5,"W, 37-3",Won,Under
2015,AFC South,IND,4,JAX,-9.5,48,"W, 16-13",Lost,Under
2004,AFC South,IND,13,@HOU,-10,57,"W, 23-14",Lost,Under
2004,AFC South,IND,17,DEN,-10,56,"W, 49-24",Won,Over
2007,AFC South,IND,4,DEN,-10,46.5,"W, 38-20",Won,Over
2007,AFC South,IND,14,@OAK,-10,45,"W, 21-14",Lost,Under
2008,AFC South,IND,1,CHI,-10,44,"L, 13-29",Lost,Under
2018,AFC South,IND,15,NYG,-10,48.5,"W, 28-27",Lost,Over
2021,AFC South,IND,6,HOU,-10,43.5,"W, 31-3",Won,Under
2021,AFC South,IND,10,JAX,-10,47.5,"W, 23-17",Lost,Under
2021,AFC South,IND,13,@HOU,-10,44.5,"W, 31-0",Won,Under
2002,AFC South,IND,3,@HOU,-10.5,38,"W, 23-3",Won,Under
2009,AFC South,IND,4,SEA,-10.5,43.5,"W, 34-17",Won,Over
